page,Tên khác,Địa chỉ,Tọa độ,Lễ hội,Phân loại,Ngày công nhận,Quyết định,Thành lập,Quốc gia,Tôn giáo,Tông phái,Khởi lập,Quản lý,Trụ trì,Trang web,Tôn kính,Người sáng lập,Tên cũ,Dạng,Phong cách,Địa điểm,Thành phố,Khởi công,Hoàn thành,Khánh thành,Trùng tu,Diện tích sàn,Kích thước,Đường kính,Kiến trúc sư,Chủ đầu tư,Hệ thống kết cấu,Kỹ sư,Tỉnh,Kiểu dáng kiến trúc,Tên chính thức,Tiêu chuẩn,Tham khảo,Công nhận,Diện tích,Vùng đệm,"Vị trí Tháp Đồng Dương trên bản đồ Việt Nam


Tháp Đồng Dương",Xây dựng,Vị trí,Tình trạng,Thờ,Phân cấp,Website,Thầy,Công tích,Một phần của,Khám phá,Thánh tích,Được thờ vì,Tuyến đường,Bắc qua,Tên tự,Di tích,Mở rộng,"Mã IATA-

Mã ICAO-",Mã IATA-,Kiểu sân bay,Độ cao,"Hướng

Chiều dài

Bề mặt


m

ft


02

2001

6565

Asphalt",Hướng,m,02,Thờ phụng,Tôn tạo,Quá trình xây dựng,Hồ sơ tham khảo,Vùng,Thị xã,Tổng cộng,Mật độ,Mã hành chính,Khu vực,Kiểu hồ,Nguồn cấp nước chính,Nguồn thoát đi chính,Lưu vực,Quốc gia lưu vực,Độ dài tối đa,Độ rộng tối đa,Chu vi,Diện tích bề mặt,Độ sâu trung bình,Các đảo,Khu dân cư,Bao gồm,Vùng được công nhận,Chưởng quản,Chi phí xây dựng,Chi phí trùng tu,Chiều cao,Kích thước khác,Ban quản lý,Sử dụng,Sở hữu,Phá dỡ,Phá hủy,Nhà thầu chính,Toạ độ,Thành phố gần nhất,Diện tích ban đầu,Diện tích hiện nay,Diện tích mở rộng,Diện tích sau mở rộng,Người thành lập,Xây dựng bởi,Vật liệu,Xây dựng cho,Mục đích ban đầu,Tổng mức đầu tư,Giai đoạn trùng tu,Mục đích hiện tại,Phong cách kiến trúc,Thời gian tham quan,Lượng tham quan,Cơ quan quản lý,Loại,Ngày nhận danh hiệu,Tên chính xác,Vị thần chính,Người xây dựng,Xây mới,Lễ hội chính,Chữ Hán,Tên khác,Tọa độ,Vị trí,Xây dựng,Đời vua,Tình trạng,Chức năng,Kiểm soát bởi,Xây dựng bởi,Trận đánh/chiến tranh,Sự kiện,Chỉ huy hiện tại,Đơn vị đồn trú,Chủ sở hữu,Số cửa vào,"Vị trí Tháp Hòa Lai trên bản đồ Việt Nam


Tháp Hòa Lai",Sự kiện,Núi,Phối thờ,Đời vua,Sử dụng bởi,Người thiết kế,Năm thiết kế,Giai đoạn sản xuất,Số lượng chế tạo,Khối lượng,Chiều dài,Chiều rộng,Bệ pháo,Xoay ngang,Ngày xây dựng,Chức năng,Phá hủy,Dài,Cao,Kiểu,Vùng UNESCO,Rộng,Tác giả,Ngôn ngữ,Thể loại,Kiểu sách,Một phần của,Nguyên liệu,Thành lập,Tượng Chúa Kitô Vua,Chủ quản,Thiết kế,Chịu trách nhiệm giai đoạn 1,Chịu trách nhiệm giai đoạn 2,Điện thoại,Loại đền,"Vị trí Tháp Po Klong Garai trên bản đồ Việt Nam


Tháp Po Klong Garai",Được xây dựng,Sửa chữa lại,Bộ sưu tập,Giám đốc,Ngân quỹ,Loại bệnh viện,Giường,Mở cửa,Tên chùa:,Địa chỉ:,Người cúng đất:,Người xây dựng:,Năm xây dựng:,Năm trùng tu:,Trụ trì tiền nhiệm:,Trụ trì đương nhiệm:,Pháp môn:,Chủ trương:,Trường phái,Kỹ sư xây dựng,Tọa độ địa lý,Người sáng tạo,Bề mặt khu vực,Nghi thức,Hướng mặt tiền,Dạng chỗ ngồi,Số chỗ ngồi,Nhà thiết kế khác,Mã trường,Hiệu trưởng,Phó hiệu trưởng,Khẩu hiệu,Nhân viên,Giáo viên,Cấp,Bài hát,Số học sinh,Khuôn viên,Diện tích mặt nước,Diện tích khuôn viên,Phụ trách,Chỉ huy đã qua,Diện tích quy hoạch và tôn tạo,Diện tích bảo vệ,Ngày,Bắt đầu,Kết thúc,Tần suất,Năm sự kiện,Sự kiện quan trọng,Cấp sân ga,Đã mở,Đã đóng,Thượng nguồn,Cửa sông,Độ dài,Kiểu cầu,Số nhịp,Đã thông xe,Năm thánh hiến,Nhà đầu tư,Giáo phái,Giáo hội hoặc trạng thái tổ chức,Lãnh đạo,Số tầng,Tên thường gọi,Tên theo mật danh chiến trường,Tên theo địa danh,"Vị trí Tháp Liễu Cốc trên bản đồ Việt Nam


Tháp Liễu Cốc",Tình trạng di sản,Đóng cửa,Tiêu chí,Nam,Bắt đầu xây dựng,Nổi tiếng vì,"Vị trí Tháp Dương Long trên bản đồ Việt Nam


Tháp Dương Long",Cao độ bề mặt,"Vị trí Tháp Nhạn trên bản đồ Việt Nam


Tháp Nhạn",Tổng số đảo,Đảo chính,Địa phương,Dân số,Độ sâu,Độ dài,Địa chất,Danh sách cửa vào,Nguy hiểm,Khảo sát hang động,Huyện,Trụ sở UBND,Khe Sanh Vị trí thị trấn Khe Sanh trên bản đồ Việt Nam,"Vị trí Tháp Bánh Ít trên bản đồ Việt Nam


Tháp Bánh Ít","Vị trí Tháp Phú Lốc trên bản đồ Việt Nam


Tháp Phú Lốc",Tuyến,E-mail
Đền Đô,,"khu phố Thượng, phường Đình Bảng, thành phố Từ Sơn, tỉnh Bắc Ninh, Việt Nam","21°06′26″B 105°57′37″Đ﻿ / ﻿21,1071575°B 105,9601644°Đ﻿ / 21.1071575; 105.9601644","14, 15, 16 tháng 3 âm lịch hàng năm",Di tích lịch sử – văn hóa,25 tháng 1 năm 1991,154/QĐ-VH,"3 tháng 3, 1030",,,,,,,,,Lý Thái Tông,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 vị vua nhà Lý,,,,,Khu lăng mộ và đền thờ các vị vua triều Lý,,,,,,,,,,,,,,,,,,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đền thờ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Mẫu Bát Tràng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu Ao,Đền Cả,"Thạch Trị, Thạch Hà, Hà Tĩnh, Việt Nam",,,Di tích lịch sử – văn hóa,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Bà Hải,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Nhà Bà,Đền Vại,Việt Nam,,12 tháng 2 âm lịch,Di tích lịch sử – văn hóa,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Phụ Quốc,,"xóm Miễu, thôn Tam Tảo, thuộc xã Phú Lâm, huyện Tiên Du, tỉnh Bắc Ninh, Việt Nam",,"10 tháng 2
1 tháng 4
10 tháng 4 âm lịch hàng năm",,,,,,,,,,,,,Lý Thái Tổ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,công thần phong kiến,,,,cứu giúp Lý Thái Tổ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Thánh Mẫu (Thái Bình),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Tiên La,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Trần (Nam Định),,"phường Lộc Vượng, thành phố Nam Định, tỉnh Nam Định, Việt Nam","20°27′25″B 106°10′02″Đ﻿ / ﻿20,456854°B 106,167306°Đ﻿ / 20.456854; 106.167306",15 - 20 tháng 8 âm lịch,"Di tích lịch sử – văn hóa, kiến trúc nghệ thuật",27 tháng 9 năm 2012,1419/QĐ-TTg[1],1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đền Trần (Thái Bình),,"Tam Đường, xã Tiến Đức, huyện Hưng Hà, tỉnh Thái Bình, Việt Nam",,từ 13 đến 18 tháng Giêng ÂL,Di tích lịch sử – văn hóa,31 tháng 12 năm 2014,2408/QĐ-TTg[1],,,,,,,,,,Hoàng tộc nhà Trần,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoàng thất nhà Trần,,,,,Khu lăng mộ và đền thờ các vị vua triều Trần,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ Lương Xâm,,"phường Nam Hải, quận Hải An, thành phố Hải Phòng, Việt Nam",,16 tháng Giêng ÂL,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Văn Thánh Miếu Cao Lãnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Thần Miếu Vĩnh Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Văn Thánh Miếu Vĩnh Long,,,,,,25 tháng 3 năm 1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Phường 4, thành phố Vĩnh Long, tỉnh Vĩnh Long",,,Di tích cấp quốc gia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần thể di tích thờ Vua Đinh ở Nam Định,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tháp Po Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bình Thuận,  Việt Nam",,Po Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tháp Po Klong Garai,,"đồi Trầu, phường Đô Vinh","11°36′07″B 108°56′39″Đ﻿ / ﻿11,601831°B 108,9442935°Đ﻿ / 11.601831; 108.9442935",,Di tích kiến trúc nghệ thuật,1979,2499/QĐ-TTg[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thế kỷ 14,Việt Nam,nguyên vẹn,Po Klong Garai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vị trí Tháp Po Klong Garai trên bản đồ Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tháp Po Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thế kỷ 17,"Ninh Thuận,  Việt Nam",,Po Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danh sách Di tích quốc gia Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bản mẫu:Quần thể di tích Cố đô Huế,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bản mẫu:Di tích Việt Nam hạng đặc biệt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đồng hồ Thái Dương,,,"9°17′08″B 105°43′22″Đ﻿ / ﻿9,2856415188394°B 105,72271601472°Đ﻿ / 9.285641518839379; 105.72271601471921",,,,,,,,,,,,,,,,,,,,,,,,,,,Lưu Văn Lang,,,,,,,,,,500m2,,,,"30 tháng 4, phường 3, thành phố Bạc Liêu, tỉnh Bạc Liêu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đồng hồ Mặt Trời,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,"1994, 2011, 2014 và 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xưởng đóng tàu Ba Son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bảo tàng Lịch sử Thành phố Hồ Chí Minh,,,,,,,,1929,,,,,,,baotanglichsutphcm.com.vn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Số 2, đường Nguyễn Bỉnh Khiêm, phường Bến Nghé, quận 1, TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hơn 43.000 tư liệu, hiện vật[1]",TS. Hoàng Anh Tuấn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bảo tàng Mỹ thuật Thành phố Hồ Chí Minh,,,"10°46′10″B 106°42′00″Đ﻿ / ﻿10,769378°B 106,699948°Đ﻿ / 10.769378; 106.699948",,,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97 Phó Đức Chính, Quận 1, Thành phố Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bệnh viện Nhi đồng 2,Bệnh viện GrallBệnh viện Đồn Đất,,"10°46′51″B 106°42′09″Đ﻿ / ﻿10,780955°B 106,702614°Đ﻿ / 10.780955; 106.702614﻿ (Bệnh viện Nhi đồng 2)",,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14 Lý Tự Trọng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,,,www.benhviennhi.org.vn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(028) 38295723(028) 38295724,,,,,,,Bệnh viện công lập,Bệnh viện chuyên khoa,1.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Căn nhà số 5 Châu Văn Liêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cầu Mống,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chợ Bình Tây,,"57A Tháp Mười, Phường 2, Quận 6","10°44′58″B 106°39′04″Đ﻿ / ﻿10,749375°B 106,651078°Đ﻿ / 10.749375; 106.651078﻿ (Chợ Bình Tây)",,Di tích kiến trúc nghệ thuật,,,,Việt Nam,,,,,,,,,,Chợ truyền thống,Á Đông,,Thành phố Hồ Chí Minh,1928,,,"1992, 2016-2018","2,5 hécta (6,2 mẫu Anh)","Dài: 89,2 mét (293 ft)Rộng: 108,6 mét (356 ft)",,,Quách Đàm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104 tỷ đồng (2016),"13,1 mét (43 ft)",,,,,,,Công ty Tàu Cuốc (Công ty Xáng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930; 93 năm trước (1930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Giác Ngộ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chùa Giác Ngộ,"92 Nguyễn Chí Thanh, P3, Q10, Thành phố Hồ Chí Minh, Việt Nam",ĐĐ Thích Thiện Đức,HT. Thích Thiện Hòa,Năm 1946,"Năm 1984, 2013","HT. Thích Nhất Thanh, HT. Thích Nhất Niệm, HT. Thích Thiện Huệ, TT. Thích Nhật Bình","TT. Thích Nhật Từ (1992-1994, 2002-nay)","Bốn chân lý thánh, Tứ đế","Đạo Phật Ngày Nay, truyền bá Phật pháp qua giáo dục, hoằng pháp, văn hóa và từ thiện",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
