,name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng,Hồ sơ khảo sát đình chùa Đồng Kỵ 1987,Hồ sơ khảo sát đình Bảng,Bản vẽ thiết kế (CT,Bản vẽ,Bản vẽ hoàn công (phần việc,Bản vẽ thiết kế kỹ thuật thi công (Phần việc,Bản vẽ thiết kế kỹ thuật. HM,Bản vẽ thiết kế kỹ thuật thi công (Hạng mục,Bản vẽ thiết kế (Hạng mục,Bản vẽ hiện trạng (mặt bằng,Dự án thực nghiệm tu bổ tôn tạo đình Chu Quyến,Hồ sơ viết di tích đình Lỗ Hạnh,Hồ sơ bản vẽ di tích đình Nội,Hồ sơ viết di tích đình Nội,Hồ sơ bản vẽ di tích chùa Yên Viên,Hồ sơ viết di tích chùa Yên Viên,Hồ sơ ảnh di tích chùa Yên Viên,Hồ sơ viết di tích đình Phúc Long,Hồ sơ ảnh di tích đình Phúc Long,Báo cáo đầu tư tu bổ cấp thiết đình Trân Tảo. HM,HSTKBVTC dự án tôn tạo Đền Ngọc Sơn. HM,Hồ sơ ảnh đền Thiên Trường,Hồ sơ thiết kế tu bổ tôn tạo (Hm,Hồ sơ thiết kế kỹ thuật thi công (Hm,Hồ sơ khảo sát tháp Dương Long,Hồ sơ thiết kế tu bổ tháp Đôi,Hồ sơ bản vẽ điện Tây Sơn Tam Kiệt,Hồ sơ khảo sát đình Phù Lão (1982),Hồ sơ khảo sát đình Phù Lão
2400,Chùa Vĩnh Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3707,http://ditich.vn\upload\images\ditich\Ch-V0081.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Sơn Đông",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,"Tam quan, Thiêu hương, Thượng điện",21°19’38”N; 105°27’21”E,Phật,,2015/QĐ-BT ngày 16/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,Đền Đỗ Khắc Chung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3706,http://ditich.vn\upload\images\ditich\De-D0032.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, Xã Sơn Đông",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Tam quan,Đền chính,21°19’22”N; 105°’27’7”E,Đỗ Khắc Chung,,937/QĐ-BT ngày 23/7/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,Đền Trần Nguyên Hãn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=1973,http://ditich.vn\upload\images\ditich\De-T0047.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, Xã Sơn Đông",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đại bái,Tam quan,21°19’42”N; 105°’27’1”E,Trần Nguyên Hãn,thế kỷ 18,06/VH-QĐ ngày 15/01/1984,"Tả tướng, Thượng",thời Nguyễn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,Đình Phú Hậu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3705,http://ditich.vn\upload\images\ditich\Di-P0119.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Sơn Đông",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,,21°18’25”N; 105°’27’34”E,Quý Minh Đại vương,,429/QĐ-UBND ngày 4/2/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,Đình Bác Cổ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3704,http://ditich.vn\upload\images\ditich\Di-B0079.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, Xã Sơn Đông",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại đình,Đại đình,21°19’21”N; 105°’27’15”E,"Trần Nguyễn Hãn, Đỗ Khắc Chung",,416/QĐ-UBND ngày 4/2/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,Chùa Đông Minh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3703,http://ditich.vn\upload\images\ditich\Ch-D0164.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Sơn Đông",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tam quan,,21°19’15”N; 105°27’45”E,Phật,,306/QĐ-UBND ngày 1/2/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,Đình Đông Mật,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3702,http://ditich.vn\upload\images\ditich\Di-D0196.jpg,"Thôn Đông Mật, xã Sơn Đông",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,,21°19’15”N; 105°’27’45”E,"Võ Công Điền, Võ Công Bách",,301/QĐ-UBND ngày 1/2/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,Đền Ẩn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3701,http://ditich.vn\upload\images\ditich\De-A0016.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Hợp Lý",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền tế,,21°29’44”N; 105°29’35”E,Công chúa An Bình,,350/QĐ-UB ngày 15/02/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,Đình Quảng Khuân,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3700,http://ditich.vn\upload\images\ditich\Di-Q0032.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, thị trấn Hoa Sơn",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,,21°26’12”N; 105°27’15”E,"Quế Lan Nương, Tể tướng Lữ Gia",,291/QĐ-UBND ngày 1/2/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,Đền Cả,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3699,http://ditich.vn\upload\images\ditich\De-C0040.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, thị trấn Hoa Sơn",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,,21°26’12”N; 105°31’45”E,Đức Thánh Bà,,1133/QĐ-UB ngày 1/7/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,Miếu Khuân,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3698,http://ditich.vn\upload\images\ditich\Mi-K0005.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Liễn Sơn",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Miếu chính,21°26’33”N; 105°29’24”E,Bà Quế Lan Nương,,433/QĐ-UB ngày 1/2/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,Chùa Bảo Đài,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3697,http://ditich.vn\upload\images\ditich\Ch-B0085.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Liên Sơn",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường,,21°25’17”N; 105°27’49”E,Phật,,184/QĐ-UBND ngày 24/01/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,Đình Sen Hồ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3696,http://ditich.vn\upload\images\ditich\Di-S0004.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Thái Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,Đại đình,21°26’38”N; 105°31’25”E,"Thục Nương, Nguyễn Tuấn",,57/VH-QĐ ngày 18/01/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,Đình Đại Lương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3695,http://ditich.vn\upload\images\ditich\Di-D0195.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Thái Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,,21°26’56”N; 105°31’34”E,Tứ vị Đại vương,,277/QĐ-UBND ngày 20/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,Đình Đông Định,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3694,http://ditich.vn\upload\images\ditich\Di-D0194.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Thái Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,,21°26’49”N; 105°30’25”E,Quý Minh Đại vương,,271/QĐ-UBND ngày 25/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,Đình Ngọc Hà,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3692,http://ditich.vn\upload\images\ditich\Di-N0120.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Thái Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại đình,21°27’17”N; 105°31’35”E,Lục vị Đại vương,,437/QĐ-UBND ngày 7/2/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,Chùa Cao,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3691,http://ditich.vn\upload\images\ditich\Ch-C0107.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Thái Hòa",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường,Tam bảo,21°26’30”N; 105°31’14”E,Phật,,1366/QĐ ngày 17/12/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,Đền Đông Định,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3690,http://ditich.vn\upload\images\ditich\De-D0088.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Thái Hòa",Đền,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại bái,,21°27’23”N; 105°31’14”E,Trưng Trắc và 2 tướng phò tá,,1364/QĐ ngày 17/12/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,Đình Phú Thọ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3689,http://ditich.vn\upload\images\ditich\Di-P0118.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Liên Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại bái,21°25’19”N; 105°31’48”E,"Cao Sơn, Mưu Sơn, Kỳ Sơn",,114/QĐ-UBND ngày 13/01/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,Đình Ngọc Liễn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3688,http://ditich.vn\upload\images\ditich\Di-N0119.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Liên Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại bái,21°25’27”N; 105°31’33”E,"Công chúa An Bình, Nguyễn Triều Lệ, 4 vị Sơn thần",,186/QĐ-UBND ngày 24/01/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,Đình Tây Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3687,http://ditich.vn\upload\images\ditich\Di-T0282.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Liên Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Đại đình,21°23’21”N; 105°30’23”E,Định Xá Đại vương,,83/QĐ ngày 24/01/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,Đình Phú Cả,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3686,http://ditich.vn\upload\images\ditich\Di-P0117.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Liên Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Hậu cung,21°23’45.0”N; 105°30’53.0”E,"Cao Sơn, Trần Minh Tự, Hoàng Ngự Chiến",,1423/QĐ ngày 19/10/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,Chùa Đông Lai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3685,http://ditich.vn\upload\images\ditich\Ch-D0063.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Bàn Giản",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường,Bia đá,210 38’68”N; 105050’47”E,Phật,,97/QĐ ngày 21/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,Đình Tây Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3684,http://ditich.vn\upload\images\ditich\Di-T0017.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Bàn Giản",Đình,,Di tích cấp Tỉnh,Đại bái,Đại bái,21°22’58”N; 105°’30’59”E,Tương Đinh Xá,,97/QĐ ngày 21/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,Đền Đông Lai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3683,http://ditich.vn\upload\images\ditich\De-D0035.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Bàn Giản",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại đình,210 38’68”N; 105050’47”E,Xá Sơn Linh Quang Đại vương; Xui Sơn Đại vương,,37/QĐ ngày 18/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,Đình Đông Lai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2193,http://ditich.vn\upload\images\ditich\Di-D0104.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Bàn Giản",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đình,Đại đình,21°38’68” B; 105°50’47”E,Thần,,37/QĐ ngày 18/01/1992,"Đình Bản Giản, đền Bàn Giản, đền Cả, chùa Bàn Giản, chùa Bồng Lai",Đền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,Đền Tây Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3681,http://ditich.vn\upload\images\ditich\De-T0149.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, Xã Bàn Giản",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đền chính,,21°33’18”N; 105°30’34”E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,Đền Triệu Thái,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3680,http://ditich.vn\upload\images\ditich\De-T0059.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đại bái,Đại bái,21°21’11”N; 105°’29’41”E,Trạng nguyên Triệu Thái,,295/QĐ-BT ngày 12/02/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,Đình Bì La,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3678,http://ditich.vn\upload\images\ditich\Di-B0078.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại đình,21°19’21”N; 105°’27’15”E,"Trương Hống, Trương Hát",,276/QĐ-UBND ngày 20/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,Chùa Phúc Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3677,http://ditich.vn\upload\images\ditich\Ch-P0115.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Thượng điện,21°22’43”N; 105°29’28”E,Phật,,313/QĐ-UBND ngày 26/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,Đình Kim Bảng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3676,http://ditich.vn\upload\images\ditich\Di-K0052.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Đại đình,21°22’55”N; 105°’29’41”E,"Ô Sơn, Út Sơn",,312/QĐ-UBND ngày 26/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,Chùa Vinh Hoa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3675,http://ditich.vn\upload\images\ditich\Ch-V0004.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường,Tam bảo,21°22’37”N; 105°30’00”E,Phật,,314/QĐ-UBND ngày 26/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,Đình Bì Lâm Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3674,http://ditich.vn\upload\images\ditich\Di-B0077.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đình,,Di tích cấp Tỉnh,Tiền tế,Đại đình,21°22’50”N; 105°’29’57”E,"Ô Sơn, Út Sơn",,269/QĐ-UBND ngày 25/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,Đình Viên Luận,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3673,http://ditich.vn\upload\images\ditich\Di-V0095.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại đình,21°22’03”N; 105°’29’46”E,"Ô Sơn, Út Sơn, Đạo Công",,415/QĐ-UBND ngày 4/2/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,Đình Xuân Đán,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3671,http://ditich.vn\upload\images\ditich\Di-X0032.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại đình,21°21’43”N; 105°’29’30”E,"Ô Sơn, Út Sơn",,198/QĐ-UBND ngày 21/01/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,Đình Hạ Ích,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3670,http://ditich.vn\upload\images\ditich\Di-H0114.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,"Tiền tế, Hậu cung",21°22’41”N; 105°’29’50”E,"Ô Sơn, Uất Sơn, Kiên Công",,1948/QĐ-UB ngày 12/10/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,Đình Hoàng Chung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3668,http://ditich.vn\upload\images\ditich\Di-H0113.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Tiền tế,Đại bái,21°21’11”N; 105°’29’36”E,"Tuấn Vương, Tuấn Minh, Tuấn Quang",,23/QĐ-UB ngày 16/01/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,Đền Bì La,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3667,http://ditich.vn\upload\images\ditich\De-B0027.jpg,"Tỉnh Vĩnh Phúc, huyện Lập Thạch, xã Đồng Ích",Đền,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,,Đền chính,21°22’36”N; 105°’30’35”E,"Triệu Việt Vương, Trương Hống, Trương Hát",,40/QĐ – UBND ngày 18/01/1992,đền thờ Triệu Quang Phục,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,Chùa Vĩnh Sơn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3665,http://ditich.vn\upload\images\ditich\Ch-V0029.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Vĩnh Sơn",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tam quan,,21°14’49”N 105°30’19”E,"Phật, Mẫu",,06/2000/QĐ-BVHTT ngày 13/4/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,đình Nam,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3664,http://ditich.vn\upload\images\ditich\Di-N0002.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Lũng Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,"Đại bái, Hậu cung",21°15’47”N 105°28’38”E,Lê Ngọc Trinh,,2379/QĐ-BT ngày 5/9/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,Đình Đông Viên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3663,http://ditich.vn\upload\images\ditich\Di-D0068.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Lũng Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,21°16’1”N 105°28’45”E,Lê Ngọc Trinh,,2379/QĐ-BT ngày 5/9/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,đền Ngòi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3662,http://ditich.vn\upload\images\ditich\De-N0014.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Lũng Hòa",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Hậu cung,21°16’3”N 105°28’41”E,Lê Ngọc Trinh,,2379/QĐ-BT ngày 5/9/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,Đình Hòa Loan,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=1977,http://ditich.vn\upload\images\ditich\Di-H0029.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Lũng Hòa",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,"Đại bái, Ống muống, Hậu cung",21°16’32”N 105°27’46”E,Lê Ngọc Trinh,,1266/QĐ ngày 22/9/1992,,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,Chùa Vĩnh Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3661,http://ditich.vn\upload\images\ditich\Ch-V0085.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, Xã Vũ Di",Chùa,,Di tích cấp Tỉnh,Đang xây dựng lại,,21°13’43”N 105°31’10”E,Phật,,275/QĐ-UBND ngày 20/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,Đình Vũ Di,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3660,http://ditich.vn\upload\images\ditich\Di-V0104.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, Xã Vũ Di",Đình,,Di tích cấp Tỉnh,Đang xây dựng lại,,21°13’43”N 105°31’10”E,,,282/QĐ-UBND ngày 20/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,Miếu Trúc Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3659,http://ditich.vn\upload\images\ditich\Mi-T0040.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, Thị trấn Thổ Tang",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền tế,Tiền tế,21°15’20”N 105°28’59”E,"Lân Hổ hầu, Phùng Thị Hiệu Dong",,4250/QĐ-BVHTTDL ngày 9/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,Đình Phương Viên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3658,http://ditich.vn\upload\images\ditich\Di-P0128.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, Thị trấn Thổ Tang",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đình đình,21°15’7”N 105°29’25”E,Lân Hổ hầu đô thống Đại vương Thượng đẳng thần,,4251/QĐ-BVHTTDL ngày 9/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,Chùa Tùng Vân,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3657,http://ditich.vn\upload\images\ditich\Ch-T0094.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, Thị trấn Thổ Tang",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tam quan,Tam quan,21°15’20”N 105°29’21”E,"Phật, Mẫu",,97/QĐ ngày 21/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,Đền Bàn Giang,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3656,http://ditich.vn\upload\images\ditich\De-B0032.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Phú Thịnh",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đền,,21°14’23”N 105°27’28”E,Thánh Mẫu Liễu Hạnh,,398/QĐ-CT ngày 11/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,Đình Bàn Giang,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3655,http://ditich.vn\upload\images\ditich\Di-B0085.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Phú Thịnh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Nghi môn,,21°14’23”N 105°27’28”E,Nhã Lang Vương,,400/QĐ-CT ngày 11/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,Đền Phú Đa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3654,http://ditich.vn\upload\images\ditich\De-P0002.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Phú Đa",Đền,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Tiền tế,,21°11’9”N 105°31’13”E,Nguyễn Danh Thường,,06/VH-QĐ ngày 15/01/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,Lăng Bảo Trưng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3653,http://ditich.vn\upload\images\ditich\LM-B0008.jpg,"Tỉnh Vĩnh Phúc, Huyện Vĩnh Tường, xã Phú Đa",Lăng mộ,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Lăng mộ,Lăng mộ,21°11’16”N 105°31’7”E,,,276/QĐ-UBND ngày 25/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
