name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng
Chùa Linh Am,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3532,http://ditich.vn\upload\images\ditich\Ch-L0091.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Hồng Phương",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tam bảo,Tam bảo,21°11’42”N 105°35’34”E,Phật,,270/QĐ-UBND ngày 20/01/2017,,
Đình Trung Nha,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3531,http://ditich.vn/upload/files/1(2).JPG,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Hồng Phương",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại đình,,21°11’41”N 105°35’36”E,Lý Phật Tử,,281/QĐ-UBND ngày 20/01/2017,,
Chùa Linh Ứng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3530,http://ditich.vn\upload\images\ditich\Ch-L0090.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Hồng Phương",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tam bảo,,21°21’32”N 105°35’46”E,Phật,,274/QĐ-UBND ngày 20/01/2017,,
Đình Phương Nha,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3529,http://ditich.vn\upload\images\ditich\Di-P0132.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Hồng Phương",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại bái,,21°11’32.0”N 105°35’46.0”E,Lý Phật Tử,,279/QĐ-UBND ngày 20/01/2017,,
Đình Phú Phong,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3528,http://ditich.vn\upload\images\ditich\Di-P0131.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, Xã Hồng Phương",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,,21°11’18”N 105°35’25”E,Bố Cái Đại vương,,82/QĐ ngày 24/01/1994,,
Đình Yên Thư,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3527,http://ditich.vn\upload\images\ditich\Di-Y0049.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Yên Phương",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại bái,,21°12’13.0”N 105°35’44.0”E,Công chúa Ả Lã Nương Đê,,341/QĐ-UB ngày 15/02/1996,,
Chùa Phương Trù,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3526,http://ditich.vn\upload\images\ditich\Ch-P0118.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Yên Phương",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,,21°12’29”N 105°35’21”E,"Phật, Mẫu",,1760/QĐ ngày 22/11/1994,,
Đình Phương Trù,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3525,http://ditich.vn\upload\images\ditich\Di-P0130.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Yên Phương",Đình,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đại bái,Đại bái,21°12’28.0”N 105°35’18.0”E,Bố Cái Đại vương Phùng Hưng,,1760/QĐ ngày 22/11/1994,,
Chùa Dân Trù,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3524,http://ditich.vn\upload\images\ditich\Ch-D0173.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Yên Phương",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường,,21°12’12”N 105°35’15”E,"Phật, Mẫu",,92/QĐ ngày 24/10/1994,,
Đình Dân Trù,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3523,http://ditich.vn\upload\images\ditich\Di-D0208.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Yên Phương",Đình,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đại bái,Đại bái,21°12’12.0”N 105°35’15.0”E,Bố cái Đại vương Phùng Hưng,,92/QĐ ngày 24/10/1994,,
Đình Lũng Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3522,http://ditich.vn\upload\images\ditich\Di-L0085.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Yên Phương",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường,,21°12’3.0”N 105°34’57.0”E,Quý Minh Đại vương,,86/QĐ ngày 11/1/1993,,
Đình Đại Nội,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3521,http://ditich.vn\upload\images\ditich\Di-D0207.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Bình Định",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,21°15’27”N 105°35’4”E,Tam vị Đại vương,,306/QĐ-UBND ngày 25/01/2014,,
Miếu Đại Nội,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3520,http://ditich.vn\upload\images\ditich\Mi-D0023.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Bình Định",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Đại bái,21°15’40”N 105°35’23”E,Đức Thánh Mẫu Phùng Thị Lã,,307/QĐ-UBND ngày 25/01/2014,,
Miếu Cung Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3519,http://ditich.vn\upload\images\ditich\Mi-C0015.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Bình Định",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,"Tiền bái, Hậu cung","Tiền bái, Hậu cung",21°15’47”N 105°34’58”E,Đức Thánh Mẫu Phùng Thị Lã,,313/QĐ-UBND ngày 1/2/2010,,
Chùa Tiên Lã,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3518,http://ditich.vn\upload\images\ditich\Ch-T0250.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Bình Định",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Tam bảo,21°15’49”N 105°34’41”E,Phật,,293/QĐ-UBND ngày 1/2/2010,Chùa Cung Thượng,
Chùa Quỳnh Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3517,http://ditich.vn\upload\images\ditich\Ch-Q0043.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Bình Định",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại tự,,21°15’44”N 105°35’53”E,Phật,,184/QD-UB ngày 15/01/2004,,
Đình Cốc Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3516,http://ditich.vn\upload\images\ditich\Di-C0102.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Bình Định",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Đại đình,21°15’59”N 105°35’33”E,Tam vị Thành hoàng,,183/QĐ-UB ngày 15/01/2004,,
Đình Yên Quán,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3515,http://ditich.vn\upload\images\ditich\Di-Y0048.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Bình Định",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,,,21°15’4”N 105°35’34”E,Ba vị tướng thời Lý,,158/QĐ-UB ngày 17/01/2001,,
Đình Cung Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3514,http://ditich.vn\upload\images\ditich\Di-C0101.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, Xã Bình Định",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,21°15’46”N 105°34’53”E,Tam vị Đại vương,,46/QĐ ngày 18/01/1992,,
Đình Phú Thọ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3513,http://ditich.vn\upload\images\ditich\Di-P0129.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Tề Lỗ",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại bái,21°14’49.0”N 105°33’20.0”E,Đức Thánh Tam Giang,,287/QĐ-UBND ngày 28/01/2011,,
Đền Nhân Lý,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3512,http://ditich.vn\upload\images\ditich\De-N0055.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Tề Lỗ",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đền chính,21°14’55”N 105°32’38”E,"Tản Viên, Bạch Hạc Tam giang",,297/QĐ-UBND ngày 1/2/2010,,
Đình Trung Hậu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3511,http://ditich.vn\upload\images\ditich\Di-T0293.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Tề Lỗ",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại bái,21°14’48.46”B’;105°32’58.03”E,,,440/QĐ-UBND ngày 7/2/2007,,
Đền Giã Bàng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3510,http://ditich.vn\upload\images\ditich\De-G0005.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Tề Lỗ",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đền chính,21°15’26”N 105°32’36”E,Thống Chế - Quảng Trí,,434/QĐ-UB ngày 1/2/2002,,
Chùa Giã Bàng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3509,http://ditich.vn\upload\images\ditich\Ch-G0018.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Tề Lỗ",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Tam bảo,21°15’16”N 105°32’42”E,Phật,,436/QĐ-UB ngày 1/2/2002,,
Đình Giã Bàng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3508,http://ditich.vn\upload\images\ditich\Di-G0023.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Tề Lỗ",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại bái,Đại bái,21°15’16.72”N 105°32’42.03”E,Quản Chí Đại vương,,436/QĐ-UB ngày 1/2/2002,,
Chùa Nhật Chiêu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3507,http://ditich.vn\upload\images\ditich\Ch-N0114.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Liên Châu",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,21°10’39.0”N 105°34’9.0”E,"Phật, Mẫu",,435/QĐ-UB ngày 1/2/2002,chùa Rau,
Đền Nhật Chiêu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3506,http://ditich.vn\upload\images\ditich\De-N0054.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Liên Châu",Đền,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,"Đại bái, Hậu cung",,21°10’39”N 105°34’9”E,Nữ tướng Quách Gia nương,,435/QĐ-UB ngày 1/2/2002,,
Đình Tràng Lan,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3505,http://ditich.vn\upload\images\ditich\Di-T0292.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Hồng Châu",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,"Tiền bái, Hậu cung",21°10’43”N 105°34’28”E,"Phùng A Tú, Phùng Tú Huyền, Hoàng thượng Cát (tướng thời Hai Bà Trưng)",,437/QĐ-UB ngày 1/2/2002,,
Đình Cẩm La,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3504,http://ditich.vn\upload\images\ditich\Di-C0100.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Hồng Châu",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,21°11’7”N 105°34’55”E,"Quý Minh Đại vương, Nữ thần Hồng Nương",,862/QĐ ngày 7/7/1994,,
Chùa Quang Minh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3503,http://ditich.vn\upload\images\ditich\Ch-Q0042.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Hồng Châu",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tam bảo,,21°10’35.0”N 105°34’46”E,Phật,,81/QĐ ngày 11/1/1993,,
Đình Xuân Đài,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3502,http://ditich.vn\upload\images\ditich\Di-X0035.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Nguyệt Đức",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại bái,,21°12’40”N 105°37’8”E,Hai Bà Trưng,,111/QĐ-UBND ngày 13/01/2012,,
Đình Gia Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3501,http://ditich.vn\upload\images\ditich\Di-G0022.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Nguyệt Đức",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại bái,,21°12’50”N 105°36’46”E,Hai Bà Trưng,,298/QĐ-UBND ngày 1/2/2010,,
Đình Đinh Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3499,http://ditich.vn\upload\images\ditich\Di-D0206.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Nguyệt Đức",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,21°13’4”N 105°36’22”E,Quý Minh Đại vương,,348/QĐ-UB ngày 15/02/1996,,
Đền Vĩnh Hoa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3498,http://ditich.vn\upload\images\ditich\De-V0033.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Nguyệt Đức",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đền chính,,21°12’0”N 105°36’31”E,Công chúa Vĩnh Hoa (tướng thời Hai Bà Trưng),,861/QĐ ngày 7/7/1994,,
Chùa Nghinh Tiên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3497,http://ditich.vn\upload\images\ditich\Ch-N0113.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Nguyệt Đức",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,,21°12’4.0”N 105°36’48.0”E,Phật,,872/QĐ ngày 7/7/1994,Chùa Đường Long,
Đình Nghinh Tiên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3496,http://ditich.vn\upload\images\ditich\Di-N0128.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Nguyệt Đức",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Năm 2014 xây mới kết cấu bê tông,,21°12’4.0”N 105°36’48.0”E,"Diên Hy Đông Hải Thần, Phùng Vũ Quốc công, Vĩnh Hoa công chúa tôn thần",,872/QĐ ngày 7/7/1994,,
Đền Hai Bà Trưng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3495,http://ditich.vn\upload\images\ditich\De-H0048.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Nguyệt Đức",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,,"Tiền bái, Hậu cung",21°12’36”N 105°37’26”E,Hai Bà Trưng,,45/QĐ ngày 18/01/1992,,
Chùa Đại An,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3494,http://ditich.vn\upload\images\ditich\Ch-D0024.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Đồng Văn",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,Tam bảo,21°16’27”N 105°31’31”E,Phật,,06/2000/QĐ-BVHTT ngày 13/4/2000,,
Chùa Tiền Môn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3493,http://ditich.vn\upload\images\ditich\Ch-T0249.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Đông Văn",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường,Thượng điện,21°16’34”N 105°32’01”E,Phật,,3211/QĐ-BT ngày 12/12/1994,,
Đình Hùng Vĩ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3492,http://ditich.vn\upload\images\ditich\Di-H0051.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Đồng Văn",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,21°16’28.33”N 105°32’20.48”E,Lân Hổ Hầu,,97/QĐ ngày 21/01/1992,,
Đình Yên Lạc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3491,http://ditich.vn\upload\images\ditich\Di-Y0007.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Đồng Văn",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,21°15’57.0”N 105°32’1.0”E,Công chúa Phương Dung,,310/QĐ-BT ngày 13/02/1996,,
Đền Đồng Lạc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3490,http://ditich.vn\upload\images\ditich\De-D0024.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Đồng Văn",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đại bái,"Đại bái, Hậu cung",21°16’17”N 105°32’38”E,"Trương Hống, Trương Hát",,295/QĐ-BT ngày 12/02/1994,,
Đền Quan Trạng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3489,http://ditich.vn\upload\images\ditich\De-Q0009.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Đồng Văn",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đại bái,Đền chính,21°15’50.0”N 105°32’10.0”E,Phạm Công Bình,,389/QĐ ngày 22/7/1991,,
Đền Báo Văn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3488,http://ditich.vn\upload\images\ditich\De-B0033.jpg,"Tỉnh Vĩnh Phúc, huyện Yên Lạc, xã Đồng Văn",Đền,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Đại bái,Đại bái,21°16’13”N 105°31’29”E,,,54/QĐ ngày 18/01/1992,,
Chùa Kính Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3487,http://ditich.vn\upload\images\ditich\Ch-K0035.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, thị trấn Hương Canh",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tam quan,"Tam quan, Tam bảo, Hành lang",21°15’59”N 105°36’18”E,"Phật, Mẫu",,06/2000/QĐ-BVHTT ngày 13/4/2000,,
Đình Tiên Hường,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3486,http://ditich.vn\upload\images\ditich\Di-T0281.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, thị trấn Hương Canh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại bái,21°16’6”N 105°39’8”E,6 vị thành Hoàng,,06/ VH-QĐ ngày 15/01/1984,,
Đình Ngọc Canh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3485,http://ditich.vn/upload/files/Di-N0018.JPG,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, thị trấn Hương Canh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,"Tiền tế, Ống muống",Tiền tế,21°16’6”N 105°40’39”E,6 vị thành Hoàng,,06/VH-QĐ ngày 15/01/1984,,
Đình Hương Canh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3484,http://ditich.vn\upload\images\ditich\Di-H0054.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, thị trấn Hương Canh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,"Đại bái, Ống muống",21°15’59”N 105°39’18”E,6 vị thành Hoàng,,29/VH-QĐ ngày 13/01/1964,,
Chùa Ma Hồng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3483,http://ditich.vn\upload\images\ditich\Ch-M0040.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên Thị trấn Hương Canh",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Tiền đường,Tam bảo,21°16’26”N 105°38’39”E,Phật,,311/QĐ-UBND ngày 26/01/2016,,
Miếu Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3482,http://ditich.vn\upload\images\ditich\Mi-T0036.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, Thị trấn Hương Canh",Miếu,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Tiền bái,Miếu,21°15’40”N 105°39’17”E,"Ngô Xương Ngập, Ngô Xương Văn, Đỗ Cảnh Thạc, vợ Ngô Quyền",,304/QĐ-UBND ngày 25/01/2014,,
Đình Gia Du,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3481,http://ditich.vn\upload\images\ditich\Di-G0013.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên Xã Đạo Đức",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,,21°20’56”N 105°38’17”E,7 anh em họ Lỗ,,293/QĐ-UBND ngày 28/01/2011,,
Đình Đại Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3480,http://ditich.vn\upload\images\ditich\Di-D0028.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên Xã Đạo Đức",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,,21°14’14”N 105°40’26”E,Lý Nam Đế,,1266/QĐ ngày 22/9/1992,,
Đình Bảo Đức,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3479,http://ditich.vn\upload\images\ditich\Di-B0008.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Đạo Đức",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,21°15’3”N 105°39’21”E,Lý Nam Đế,,1266/QĐ ngày 22/9/1992,,
Đình Mộ Đạo,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3478,http://ditich.vn\upload\images\ditich\Di-M0022.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Đạo Đức",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại bái,21°14’43”N 105°40’11”E,Hoàng Hậu Vua Lý Nam Đế,,1266/QĐ ngày 22/9/1992,,
Miếu Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3477,http://ditich.vn\upload\images\ditich\Mi-H0021.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Đạo Đức",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Miếu,Miếu,21°14’10”N 105°41’6”E,Công chúa Đàn Na (con gái vua Lý Nam Đế),,284/QĐ-UBND ngày 20/01/2017,,
Miếu Thượng Đức,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3476,http://ditich.vn\upload\images\ditich\Mi-T0035.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Đạo Đức",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Miếu,,21°14’28”N 105°40’7”E,Hoàng hậu Đỗ Thị Khương,,296/QĐ-UBND ngày 25/01/2014,,
Chùa Đại Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3475,http://ditich.vn\upload\images\ditich\Ch-D0078.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Đạo Đức",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Tam bảo,Tam bảo,21°14’13”N 105°40’29”E,Phật,,307/QĐ-UBND ngày 1/2/2010,,
Chùa Kim Quy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3474,http://ditich.vn\upload\images\ditich\Ch-K0031.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên Xã Đạo Đức",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Tam bảo,Tam bảo,21°14’26”N 105°38’6”E,"Phật, Mẫu",,309/QĐ-UBND ngày 1/2/2010,,
Chùa Di Đà,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3473,http://ditich.vn\upload\images\ditich\Ch-D0079.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên Xã Đạo Đức",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,,Tam bảo,21°14’43”N 105°39’60”E,Phật,,308/QĐ-UBND ngày 1/2/2010,,
Miếu Mộ Đạo,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3472,http://ditich.vn\upload\images\ditich\Mi-M0005.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Hương Sơn",Miếu,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Sân,,21°14’36”N 105°40’00”E,Hoàng hậu vua Lý Nam Đế,,295/QĐ-UBND ngày 1/2/2010,,
Đình Hương Ngọc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3470,http://ditich.vn\upload\images\ditich\Di-H0112.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Hương Sơn",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,,21°19’52”N 105°38’6”E,"Cao Sơn, Quý Minh, Lộng Sơn",,293/QĐ-UBND ngày 25/01/2014,,
Miếu Đôi Cô,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3469,http://ditich.vn\upload\images\ditich\Mi-D0018.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Hương Sơn",Miếu,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Nhà Mẫu,"Miếu, Nhà Mẫu","21°18'33""N 105°39'02”E",Nhị vị nữ tướng (thời Hai Bà Trưng),,294/QĐ-UBND ngày 25/01/2014,,
Đình Tam Lộng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3468,http://ditich.vn\upload\images\ditich\Di-T0280.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Trung Mỹ",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,,21°18’40”N 105°38’38”E,"Cao Sơn, Quý Minh",,314/QĐ-UBND ngày 1/2/2010,,
Đền Trung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=3467,http://ditich.vn\upload\images\ditich\De-T0076.jpg,"Tỉnh Vĩnh Phúc, Huyện Bình Xuyên, xã Trung Mỹ",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đền chính,Đền chính,21°22’34”N 105°41’23”E,"Cao Sơn, Quý Minh, U Minh, Tản viên Sơn Thánh",,321/QĐ-UB ngày 30/01/2008,,
